outcome,outcome_unit,estimate,force_level_mvc,simulation_id,normal_value,dpn_value,dpn_minus_normal
firing_rate,pps,simulation_truth_all_active_motor_units,50,7,17.23185185185185,17.428251121076233,0.19639926922438278
firing_rate,pps,simulation_truth_all_active_motor_units,50,8,16.93538913362702,17.07100149476831,0.13561236114129116
firing_rate,pps,simulation_truth_all_active_motor_units,50,9,17.03930131004367,17.60735735735736,0.5680560473136893
firing_rate,pps,simulation_truth_all_active_motor_units,50,10,17.18567251461988,17.436936936936938,0.2512644223170568
firing_rate,pps,simulation_truth_all_active_motor_units,50,11,16.876273653566226,17.337138508371385,0.46086485480515904
firing_rate,pps,simulation_truth_all_active_motor_units,50,12,16.694927536231884,17.884848484848483,1.1899209486165994
firing_rate,pps,simulation_truth_all_active_motor_units,50,13,17.024229074889867,17.28310502283105,0.25887594794118485
firing_rate,pps,simulation_truth_all_active_motor_units,50,14,17.063492063492063,17.69155354449472,0.628061481002657
firing_rate,pps,simulation_truth_all_active_motor_units,50,15,16.492784992784994,17.7012012012012,1.2084162084162067
firing_rate,pps,simulation_truth_all_active_motor_units,50,16,17.515695067264573,17.65912518853695,0.14343012127237742
firing_rate,pps,simulation_truth_all_active_motor_units,50,17,16.63888888888889,16.926666666666666,0.2877777777777766
firing_rate,pps,simulation_truth_all_active_motor_units,50,18,17.20648967551622,18.163594470046082,0.9571047945298616
firing_rate,pps,simulation_truth_all_active_motor_units,50,19,17.26725403817915,17.416666666666668,0.1494126284875179
firing_rate,pps,simulation_truth_all_active_motor_units,50,20,16.919616519174042,16.905829596412556,-0.013786922761486409
firing_rate,pps,simulation_truth_all_active_motor_units,50,21,17.291666666666668,17.192192192192188,-0.09947447447447999
firing_rate,pps,simulation_truth_all_active_motor_units,50,22,17.049926578560942,17.373511904761905,0.3235853262009627
firing_rate,pps,simulation_truth_all_active_motor_units,50,23,16.86159420289855,17.569381598793363,0.7077873958948118
firing_rate,pps,simulation_truth_all_active_motor_units,50,24,17.03891336270191,17.197916666666668,0.15900330396475937
